transaction_id,amount,failure_reason,ml_action,utility_action,preferred_action,final_action,ml_probability,utility_probability,ml_true_probability,utility_true_probability,final_true_probability,ml_recovered,utility_recovered,final_recovered,ml_to_utility_changed,utility_to_policy_changed,ml_to_final_changed,utility_impact,policy_impact,policy_reasons
txn_006253,673.13,authentication_failed,payment_link,payment_link,payment_link,payment_link,0.5824533268300954,0.5824533268300954,0.5052199999999999,0.5052199999999999,0.5052199999999999,0,0,0,False,False,False,no_change,no_change,[]
txn_004685,1169.48,gateway_error,retry,retry,retry,retry,0.738864959228537,0.738864959228537,0.7571399999999999,0.7571399999999999,0.7571399999999999,1,1,1,False,False,False,no_change,no_change,[]
txn_001732,4028.17,authentication_failed,reminder,reminder,reminder,reminder,0.6413234598038586,0.6413234598038586,0.65,0.65,0.65,0,0,0,False,False,False,no_change,no_change,[]
txn_004743,1666.27,bank_decline,retry,retry,retry,payment_link,0.5289649922854393,0.5289649922854393,0.39,0.39,0.29000000000000004,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_004522,1285.06,bank_decline,retry,retry,retry,retry,0.6758516558750626,0.6758516558750626,0.64364,0.64364,0.64364,1,1,1,False,False,False,no_change,no_change,[]
txn_006341,2493.64,network_error,retry,retry,retry,retry,0.7420231362195174,0.7420231362195174,0.82142,0.82142,0.82142,0,0,0,False,False,False,no_change,no_change,[]
txn_000577,2170.23,network_error,retry,retry,retry,retry,0.7177333219367387,0.7177333219367387,0.77308,0.77308,0.77308,1,1,1,False,False,False,no_change,no_change,[]
txn_005203,643.06,gateway_error,retry,retry,retry,payment_link,0.5175538218466775,0.5175538218466775,0.51556,0.51556,0.26556,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_006364,368.73,bank_decline,retry,retry,retry,retry,0.6982219641250675,0.6982219641250675,0.6799999999999999,0.6799999999999999,0.6799999999999999,1,1,1,False,False,False,no_change,no_change,[]
txn_000440,3581.98,network_error,retry,retry,retry,retry,0.695184011012239,0.695184011012239,0.68818,0.68818,0.68818,1,1,1,False,False,False,no_change,no_change,[]
txn_002751,2671.59,expired_card,payment_link,payment_link,payment_link,payment_link,0.5808187512474315,0.5808187512474315,0.5566599999999999,0.5566599999999999,0.5566599999999999,1,1,1,False,False,False,no_change,no_change,[]
txn_007488,931.91,bank_decline,retry,retry,retry,payment_link,0.5072548146247231,0.5072548146247231,0.3400000000000001,0.3400000000000001,0.24000000000000005,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_005273,1005.19,network_error,retry,retry,retry,payment_link,0.6059075773528115,0.6059075773528115,0.5349999999999999,0.5349999999999999,0.235,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_005654,3478.31,network_error,retry,retry,retry,payment_link,0.5828846184927294,0.5828846184927294,0.6233399999999999,0.6233399999999999,0.32333999999999996,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_004000,2086.99,gateway_error,retry,retry,retry,payment_link,0.5095480006075724,0.5095480006075724,0.51294,0.51294,0.26294000000000006,1,1,0,False,True,True,no_change,policy_hurt,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_006034,412.14,authentication_failed,payment_link,payment_link,payment_link,payment_link,0.44133036755466615,0.44133036755466615,0.42666000000000004,0.42666000000000004,0.42666000000000004,1,1,1,False,False,False,no_change,no_change,[]
txn_000583,1024.04,gateway_error,retry,retry,retry,retry,0.7139278519964287,0.7139278519964287,0.7263200000000001,0.7263200000000001,0.7263200000000001,1,1,1,False,False,False,no_change,no_change,[]
txn_009931,7530.98,bank_decline,retry,retry,retry,retry,0.6057281261064762,0.6057281261064762,0.63,0.63,0.63,1,1,1,False,False,False,no_change,no_change,[]
txn_007052,504.69,network_error,retry,retry,retry,payment_link,0.6981218781968636,0.6981218781968636,0.6483399999999999,0.6483399999999999,0.34834,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}, {'action': 'reminder', 'reasons': ['temporary_network_error_should_be_retried_first']}]"
txn_008159,444.29,bank_decline,retry,payment_link,payment_link,payment_link,0.430366157355344,0.42495281947503977,0.35763999999999996,0.25764000000000004,0.25764000000000004,0,0,0,True,False,True,same_outcome,no_change,[]
txn_009897,504.07,network_error,retry,retry,retry,retry,0.7609582513805945,0.7609582513805945,0.77,0.77,0.77,1,1,1,False,False,False,no_change,no_change,[]
txn_002250,2058.84,expired_card,payment_link,payment_link,payment_link,payment_link,0.6604385222331239,0.6604385222331239,0.70684,0.70684,0.70684,1,1,1,False,False,False,no_change,no_change,[]
txn_004641,1752.14,network_error,retry,retry,retry,payment_link,0.6684405692055877,0.6684405692055877,0.6733399999999999,0.6733399999999999,0.37334,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_009486,675.86,expired_card,payment_link,payment_link,payment_link,payment_link,0.5826221132039543,0.5826221132039543,0.66272,0.66272,0.66272,0,0,0,False,False,False,no_change,no_change,[]
txn_004948,712.79,insufficient_balance,retry,retry,retry,retry,0.6142718352776465,0.6142718352776465,0.51552,0.51552,0.51552,0,0,0,False,False,False,no_change,no_change,[]
txn_009921,1377.62,authentication_failed,payment_link,payment_link,payment_link,payment_link,0.673733450435026,0.673733450435026,0.69048,0.69048,0.69048,1,1,1,False,False,False,no_change,no_change,[]
txn_001964,1742.1,bank_decline,retry,retry,retry,retry,0.6083257284614242,0.6083257284614242,0.53846,0.53846,0.53846,1,1,1,False,False,False,no_change,no_change,[]
txn_008244,1474.04,insufficient_balance,reminder,reminder,reminder,reminder,0.48346860354664073,0.48346860354664073,0.39999999999999997,0.39999999999999997,0.39999999999999997,1,1,1,False,False,False,no_change,no_change,[]
txn_006591,2109.11,insufficient_balance,reminder,reminder,reminder,reminder,0.4942032434983392,0.4942032434983392,0.4579399999999999,0.4579399999999999,0.4579399999999999,1,1,1,False,False,False,no_change,no_change,[]
txn_008848,500.78,network_error,retry,retry,retry,retry,0.6619383794958758,0.6619383794958758,0.76428,0.76428,0.76428,1,1,1,False,False,False,no_change,no_change,[]
txn_000322,1859.44,gateway_error,retry,retry,retry,reminder,0.5904965363460605,0.5904965363460605,0.59238,0.59238,0.31238,0,0,0,False,True,True,no_change,same_outcome,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_002679,1593.71,expired_card,payment_link,payment_link,payment_link,payment_link,0.6491538274432503,0.6491538274432503,0.72384,0.72384,0.72384,0,0,0,False,False,False,no_change,no_change,[]
txn_004626,704.45,insufficient_balance,retry,reminder,reminder,reminder,0.5555207874686555,0.5527880357021511,0.35,0.48000000000000004,0.48000000000000004,1,1,1,True,False,True,same_outcome,no_change,[]
txn_004950,749.52,authentication_failed,reminder,reminder,reminder,reminder,0.5865081796642767,0.5865081796642767,0.47182,0.47182,0.47182,1,1,1,False,False,False,no_change,no_change,[]
txn_008329,1638.77,insufficient_balance,reminder,reminder,reminder,reminder,0.39702204793012635,0.39702204793012635,0.31999999999999995,0.31999999999999995,0.31999999999999995,0,0,0,False,False,False,no_change,no_change,[]
txn_003338,1334.5,network_error,retry,retry,retry,retry,0.7278325058025743,0.7278325058025743,0.73522,0.73522,0.73522,1,1,1,False,False,False,no_change,no_change,[]
txn_005590,1575.69,network_error,retry,retry,retry,retry,0.692683313103015,0.692683313103015,0.71546,0.71546,0.71546,1,1,1,False,False,False,no_change,no_change,[]
txn_000252,611.76,gateway_error,retry,retry,retry,reminder,0.5689522590706723,0.5689522590706723,0.5917199999999999,0.5917199999999999,0.31172,1,1,0,False,True,True,no_change,policy_hurt,"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]"
txn_003974,784.78,authentication_failed,payment_link,payment_link,payment_link,payment_link,0.6090205669419992,0.6090205669419992,0.56286,0.56286,0.56286,1,1,1,False,False,False,no_change,no_change,[]
txn_006631,827.97,bank_decline,retry,retry,retry,retry,0.592778611448508,0.592778611448508,0.54482,0.54482,0.54482,0,0,0,False,False,False,no_change,no_change,[]
