transaction_id,amount,failure_reason,ml_action,ml_probability,preferred_action,recoveryos_action,policy_changed,ml_recovery_probability,recoveryos_recovery_probability,ml_recovered,recoveryos_recovered,impact,policy_reasons
txn_006253,673.13,authentication_failed,payment_link,0.5824533268300958,payment_link,payment_link,False,0.5052199999999999,0.5052199999999999,0,0,no_change,
txn_004685,1169.48,gateway_error,retry,0.7388649592285369,retry,retry,False,0.7571399999999999,0.7571399999999999,1,1,no_change,
txn_001732,4028.17,authentication_failed,reminder,0.6413234598038584,reminder,reminder,False,0.65,0.65,0,0,no_change,
txn_004743,1666.27,bank_decline,retry,0.5289649922854393,retry,payment_link,True,0.39,0.29000000000000004,0,0,same_outcome,
txn_004522,1285.06,bank_decline,retry,0.6758516558750626,retry,retry,False,0.64364,0.64364,1,1,no_change,
txn_006341,2493.64,network_error,retry,0.7420231362195174,retry,retry,False,0.82142,0.82142,0,0,no_change,
txn_000577,2170.23,network_error,retry,0.7177333219367387,retry,retry,False,0.77308,0.77308,1,1,no_change,
txn_005203,643.06,gateway_error,retry,0.5175538218466775,retry,payment_link,True,0.51556,0.26556,0,0,same_outcome,
txn_006364,368.73,bank_decline,retry,0.6982219641250677,retry,retry,False,0.6799999999999999,0.6799999999999999,1,1,no_change,
txn_000440,3581.98,network_error,retry,0.6951840110122393,retry,retry,False,0.68818,0.68818,1,1,no_change,
txn_002751,2671.59,expired_card,payment_link,0.5808187512474314,payment_link,payment_link,False,0.5566599999999999,0.5566599999999999,1,1,no_change,
txn_007488,931.91,bank_decline,retry,0.5072548146247231,retry,payment_link,True,0.3400000000000001,0.24000000000000005,0,0,same_outcome,
txn_005273,1005.19,network_error,retry,0.6059075773528115,retry,payment_link,True,0.5349999999999999,0.235,0,0,same_outcome,
txn_005654,3478.31,network_error,retry,0.5828846184927293,retry,payment_link,True,0.6233399999999999,0.32333999999999996,0,0,same_outcome,
txn_004000,2086.99,gateway_error,retry,0.5095480006075724,retry,payment_link,True,0.51294,0.26294000000000006,1,0,policy_hurt,
txn_006034,412.14,authentication_failed,payment_link,0.44133036755466626,payment_link,payment_link,False,0.42666000000000004,0.42666000000000004,1,1,no_change,
