transaction_id,customer_id,amount,payment_method,customer_age_days,previous_transactions,previous_successes,historical_success_rate,attempt_number,is_first_purchase,failure_reason,recovery_probability,recovered,preferred_action,final_action,policy_allowed,policy_reasons,rejected,policy
txn_006253,cust_002000,673.13,upi,1229,23,19,0.8261,3,False,authentication_failed,0.5052199999999999,0,payment_link,payment_link,True,[],[],Relaxed
txn_004685,cust_002869,1169.48,wallet,1036,28,22,0.7857,1,False,gateway_error,0.7571399999999999,1,retry,retry,True,[],[],Relaxed
txn_001732,cust_000978,4028.17,card,218,2,2,1.0,1,False,authentication_failed,0.65,0,reminder,reminder,True,[],[],Relaxed
txn_004743,cust_002332,1666.27,wallet,1379,12,9,0.75,4,False,bank_decline,0.29000000000000004,0,retry,payment_link,True,[],"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]",Relaxed
txn_004522,cust_003270,1285.06,wallet,700,11,9,0.8182,1,False,bank_decline,0.64364,1,retry,retry,True,[],[],Relaxed
txn_006341,cust_001609,2493.64,netbanking,895,21,18,0.8571,1,False,network_error,0.82142,0,retry,retry,True,[],[],Relaxed
txn_000577,cust_000373,2170.23,netbanking,317,13,8,0.6154,1,False,network_error,0.77308,1,retry,retry,True,[],[],Relaxed
txn_005203,cust_002070,643.06,card,371,18,14,0.7778,4,False,gateway_error,0.26556,0,retry,payment_link,True,[],"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]",Relaxed
txn_006364,cust_001172,368.73,wallet,278,2,2,1.0,1,False,bank_decline,0.6799999999999999,1,retry,retry,True,[],[],Relaxed
txn_000440,cust_002203,3581.98,wallet,804,22,13,0.5909,2,False,network_error,0.68818,1,retry,retry,True,[],[],Relaxed
txn_002751,cust_000508,2671.59,card,609,15,11,0.7333,4,False,expired_card,0.5566599999999999,1,payment_link,payment_link,True,[],[],Relaxed
txn_007488,cust_001164,931.91,wallet,627,2,1,0.5,4,False,bank_decline,0.24000000000000005,0,retry,payment_link,True,[],"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]",Relaxed
txn_005273,cust_003163,1005.19,card,338,24,15,0.625,4,False,network_error,0.235,0,retry,payment_link,True,[],"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]",Relaxed
txn_005654,cust_001185,3478.31,wallet,9,9,6,0.6667,3,False,network_error,0.6233399999999999,0,retry,retry,True,[],[],Relaxed
txn_004000,cust_002477,2086.99,upi,154,17,13,0.7647,4,False,gateway_error,0.26294000000000006,0,retry,payment_link,True,[],"[{'action': 'retry', 'reasons': ['maximum_retry_attempts_exceeded']}]",Relaxed
txn_006034,cust_002893,412.14,card,365,6,5,0.8333,4,False,authentication_failed,0.42666000000000004,1,payment_link,payment_link,True,[],[],Relaxed
txn_000583,cust_001189,1024.04,card,1442,19,12,0.6316,1,False,gateway_error,0.7263200000000001,1,retry,retry,True,[],[],Relaxed
txn_009931,cust_001123,7530.98,netbanking,1066,12,9,0.75,1,False,bank_decline,0.63,1,retry,retry,True,[],[],Relaxed
txn_007052,cust_000262,504.69,card,1424,24,19,0.7917,3,False,network_error,0.6483399999999999,0,retry,retry,True,[],[],Relaxed
txn_008159,cust_000987,444.29,card,1292,17,10,0.5882,4,False,bank_decline,0.25764000000000004,0,payment_link,payment_link,True,[],[],Relaxed
txn_009897,cust_002752,504.07,netbanking,534,4,4,1.0,2,False,network_error,0.77,1,retry,retry,True,[],[],Relaxed
txn_002250,cust_001024,2058.84,upi,663,19,13,0.6842,2,False,expired_card,0.70684,1,payment_link,payment_link,True,[],[],Relaxed
txn_004641,cust_000252,1752.14,netbanking,253,12,11,0.9167,3,False,network_error,0.6733399999999999,0,retry,retry,True,[],[],Relaxed
txn_009486,cust_002942,675.86,upi,332,22,19,0.8636,3,False,expired_card,0.66272,0,payment_link,payment_link,True,[],[],Relaxed
txn_004948,cust_001634,712.79,upi,73,29,24,0.8276,1,False,insufficient_balance,0.51552,0,retry,retry,True,[],[],Relaxed
txn_009921,cust_001972,1377.62,card,759,21,20,0.9524,1,False,authentication_failed,0.69048,1,payment_link,payment_link,True,[],[],Relaxed
txn_001964,cust_003117,1742.1,wallet,574,13,9,0.6923,2,False,bank_decline,0.53846,1,retry,retry,True,[],[],Relaxed
txn_008244,cust_001532,1474.04,upi,680,1,0,0.0,2,False,insufficient_balance,0.39999999999999997,1,reminder,reminder,True,[],[],Relaxed
txn_006591,cust_001981,2109.11,card,577,29,20,0.6897,3,False,insufficient_balance,0.4579399999999999,1,reminder,reminder,True,[],[],Relaxed
txn_008848,cust_001406,500.78,card,452,14,8,0.5714,1,False,network_error,0.76428,1,retry,retry,True,[],[],Relaxed
txn_000322,cust_001205,1859.44,upi,455,21,16,0.7619,3,False,gateway_error,0.59238,0,retry,retry,True,[],[],Relaxed
txn_002679,cust_000352,1593.71,wallet,1123,26,20,0.7692,2,False,expired_card,0.72384,0,payment_link,payment_link,True,[],[],Relaxed
txn_004626,cust_002562,704.45,netbanking,29,10,4,0.4,2,False,insufficient_balance,0.48000000000000004,1,reminder,reminder,True,[],[],Relaxed
txn_004950,cust_001735,749.52,wallet,173,11,10,0.9091,3,False,authentication_failed,0.47182,1,reminder,reminder,True,[],[],Relaxed
txn_008329,cust_002831,1638.77,upi,1433,1,0,0.0,3,False,insufficient_balance,0.31999999999999995,0,reminder,reminder,True,[],[],Relaxed
txn_003338,cust_001953,1334.5,wallet,1048,23,19,0.8261,2,False,network_error,0.73522,1,retry,retry,True,[],[],Relaxed
