failure_reason,transactions,recovered,recovery_rate,policy
authentication_failed,284,141,0.4964788732394366,Relaxed
bank_decline,497,227,0.4567404426559356,Relaxed
expired_card,210,137,0.6523809523809524,Relaxed
gateway_error,365,210,0.5753424657534246,Relaxed
insufficient_balance,354,159,0.4491525423728814,Relaxed
network_error,290,166,0.5724137931034483,Relaxed
authentication_failed,284,141,0.4964788732394366,Current
bank_decline,497,214,0.4305835010060362,Current
expired_card,210,137,0.6523809523809524,Current
gateway_error,365,186,0.5095890410958904,Current
insufficient_balance,354,161,0.4548022598870056,Current
network_error,290,152,0.5241379310344828,Current
authentication_failed,284,136,0.4788732394366197,Strict
bank_decline,497,192,0.386317907444668,Strict
expired_card,210,137,0.6523809523809524,Strict
gateway_error,365,172,0.4712328767123288,Strict
insufficient_balance,354,164,0.4632768361581921,Strict
network_error,290,128,0.4413793103448276,Strict
