scenario,strategy,seed,transactions,recovered,recovery_rate,recovered_revenue,attempted_revenue,stops
Normal,Always Retry,42,2000,871,0.4355,1316424.87,3012705.2,0
Normal,Always Retry,123,2000,896,0.448,1347780.9899999998,3012705.2,0
Normal,Always Retry,456,2000,889,0.4445,1287744.7400000002,3012705.2,0
Normal,Always Retry,789,2000,933,0.4665,1366268.19,3012705.2,0
Normal,Always Retry,2026,2000,882,0.441,1371028.38,3012705.2,0
Normal,Rule Based,42,2000,639,0.3195,959919.24,1509138.67,998
Normal,Rule Based,123,2000,657,0.3285,984313.5800000001,1509138.67,998
Normal,Rule Based,456,2000,629,0.3145,936221.71,1509138.67,998
Normal,Rule Based,789,2000,651,0.3255,972495.79,1509138.67,998
Normal,Rule Based,2026,2000,620,0.31,995921.01,1509138.67,998
Normal,ML Only,42,2000,1091,0.5455,1663915.52,3012705.2,0
Normal,ML Only,123,2000,1134,0.567,1732380.62,3012705.2,0
Normal,ML Only,456,2000,1103,0.5515,1637904.79,3012705.2,0
Normal,ML Only,789,2000,1160,0.58,1760582.17,3012705.2,0
Normal,ML Only,2026,2000,1096,0.548,1704542.38,3012705.2,0
Normal,RecoveryOS,42,2000,991,0.4955,1525438.8599999999,3012705.2,0
Normal,RecoveryOS,123,2000,1027,0.5135,1564459.33,3012705.2,0
Normal,RecoveryOS,456,2000,980,0.49,1443302.35,3012705.2,0
Normal,RecoveryOS,789,2000,1025,0.5125,1556325.51,3012705.2,0
Normal,RecoveryOS,2026,2000,984,0.492,1541623.3900000001,3012705.2,0
Low Noise,Always Retry,42,2000,906,0.453,1365327.39,3012705.2,0
Low Noise,Always Retry,123,2000,900,0.45,1344364.22,3012705.2,0
Low Noise,Always Retry,456,2000,898,0.449,1317642.3399999999,3012705.2,0
Low Noise,Always Retry,789,2000,919,0.4595,1400576.22,3012705.2,0
Low Noise,Always Retry,2026,2000,910,0.455,1328032.21,3012705.2,0
Low Noise,Rule Based,42,2000,657,0.3285,1002315.95,1509138.67,998
Low Noise,Rule Based,123,2000,651,0.3255,946968.7,1509138.67,998
Low Noise,Rule Based,456,2000,639,0.3195,945554.38,1509138.67,998
Low Noise,Rule Based,789,2000,633,0.3165,941027.3200000001,1509138.67,998
Low Noise,Rule Based,2026,2000,661,0.3305,974587.36,1509138.67,998
Low Noise,ML Only,42,2000,1139,0.5695,1699861.74,3012705.2,0
Low Noise,ML Only,123,2000,1130,0.565,1676075.7400000002,3012705.2,0
Low Noise,ML Only,456,2000,1123,0.5615,1682929.3399999999,3012705.2,0
Low Noise,ML Only,789,2000,1131,0.5655,1739798.49,3012705.2,0
Low Noise,ML Only,2026,2000,1124,0.562,1696286.1,3012705.2,0
Low Noise,RecoveryOS,42,2000,1029,0.5145,1518708.3399999999,3012705.2,0
Low Noise,RecoveryOS,123,2000,1021,0.5105,1525227.01,3012705.2,0
Low Noise,RecoveryOS,456,2000,999,0.4995,1503576.37,3012705.2,0
Low Noise,RecoveryOS,789,2000,1016,0.508,1555555.06,3012705.2,0
Low Noise,RecoveryOS,2026,2000,1022,0.511,1528685.6800000002,3012705.2,0
High Noise,Always Retry,42,2000,909,0.4545,1367190.94,3012705.2,0
High Noise,Always Retry,123,2000,904,0.452,1368799.0699999998,3012705.2,0
High Noise,Always Retry,456,2000,891,0.4455,1295435.65,3012705.2,0
High Noise,Always Retry,789,2000,916,0.458,1370887.41,3012705.2,0
High Noise,Always Retry,2026,2000,918,0.459,1333749.69,3012705.2,0
High Noise,Rule Based,42,2000,647,0.3235,976419.21,1509138.67,998
High Noise,Rule Based,123,2000,645,0.3225,948779.63,1509138.67,998
High Noise,Rule Based,456,2000,629,0.3145,929231.1799999999,1509138.67,998
High Noise,Rule Based,789,2000,632,0.316,948774.04,1509138.67,998
High Noise,Rule Based,2026,2000,665,0.3325,1001440.9099999999,1509138.67,998
High Noise,ML Only,42,2000,1135,0.5675,1708045.14,3012705.2,0
High Noise,ML Only,123,2000,1142,0.571,1704274.54,3012705.2,0
High Noise,ML Only,456,2000,1108,0.554,1629372.83,3012705.2,0
High Noise,ML Only,789,2000,1134,0.567,1734486.4900000002,3012705.2,0
High Noise,ML Only,2026,2000,1113,0.5565,1666821.27,3012705.2,0
High Noise,RecoveryOS,42,2000,1023,0.5115,1521795.39,3012705.2,0
High Noise,RecoveryOS,123,2000,1023,0.5115,1541811.37,3012705.2,0
High Noise,RecoveryOS,456,2000,997,0.4985,1476867.49,3012705.2,0
High Noise,RecoveryOS,789,2000,1019,0.5095,1573494.16,3012705.2,0
High Noise,RecoveryOS,2026,2000,1008,0.504,1499932.88,3012705.2,0
Amount +20%,Always Retry,42,2000,906,0.453,1638392.8679999998,3615246.2399999998,0
Amount +20%,Always Retry,123,2000,900,0.45,1613237.064,3615246.2399999998,0
Amount +20%,Always Retry,456,2000,898,0.449,1581170.8079999997,3615246.2399999998,0
Amount +20%,Always Retry,789,2000,919,0.4595,1680691.464,3615246.2399999998,0
Amount +20%,Always Retry,2026,2000,910,0.455,1593638.6519999998,3615246.2399999998,0
Amount +20%,Rule Based,42,2000,657,0.3285,1202779.1400000001,1810966.4039999999,998
Amount +20%,Rule Based,123,2000,651,0.3255,1136362.44,1810966.4039999999,998
Amount +20%,Rule Based,456,2000,639,0.3195,1134665.256,1810966.4039999999,998
Amount +20%,Rule Based,789,2000,633,0.3165,1129232.784,1810966.4039999999,998
Amount +20%,Rule Based,2026,2000,661,0.3305,1169504.832,1810966.4039999999,998
Amount +20%,ML Only,42,2000,1137,0.5685,2037203.88,3615246.2399999998,0
Amount +20%,ML Only,123,2000,1130,0.565,2010671.1719999998,3615246.2399999998,0
Amount +20%,ML Only,456,2000,1124,0.562,2018271.4679999999,3615246.2399999998,0
Amount +20%,ML Only,789,2000,1127,0.5635,2084647.392,3615246.2399999998,0
Amount +20%,ML Only,2026,2000,1127,0.5635,2031564.108,3615246.2399999998,0
Amount +20%,RecoveryOS,42,2000,1034,0.517,1835440.14,3615246.2399999998,0
Amount +20%,RecoveryOS,123,2000,1022,0.511,1829395.716,3615246.2399999998,0
Amount +20%,RecoveryOS,456,2000,999,0.4995,1800541.632,3615246.2399999998,0
Amount +20%,RecoveryOS,789,2000,1016,0.508,1874288.424,3615246.2399999998,0
Amount +20%,RecoveryOS,2026,2000,1021,0.5105,1834442.2680000002,3615246.2399999998,0
Amount -20%,Always Retry,42,2000,906,0.453,1092261.912,2410164.16,0
Amount -20%,Always Retry,123,2000,900,0.45,1075491.3760000002,2410164.16,0
Amount -20%,Always Retry,456,2000,898,0.449,1054113.872,2410164.16,0
Amount -20%,Always Retry,789,2000,919,0.4595,1120460.9760000003,2410164.16,0
Amount -20%,Always Retry,2026,2000,910,0.455,1062425.7680000002,2410164.16,0
Amount -20%,Rule Based,42,2000,657,0.3285,801852.76,1207310.936,998
Amount -20%,Rule Based,123,2000,651,0.3255,757574.9600000001,1207310.936,998
Amount -20%,Rule Based,456,2000,639,0.3195,756443.5040000001,1207310.936,998
