transaction_id,customer_id,amount,payment_method,customer_age_days,previous_transactions,previous_successes,historical_success_rate,attempt_number,is_first_purchase,failure_reason,recovery_probability,recovered
txn_000001,cust_002453,1399.36,netbanking,658,12,8,0.6667,4,False,bank_decline,0.34,0
txn_000002,cust_001236,851.51,wallet,770,3,2,0.6667,3,False,gateway_error,0.49,0
txn_000003,cust_000923,2702.12,netbanking,665,13,10,0.7692,1,False,bank_decline,0.6108,0
txn_000004,cust_002977,945.87,netbanking,1051,10,5,0.5,2,False,expired_card,0.22,1
txn_000005,cust_001370,1678.82,upi,66,16,11,0.6875,1,False,expired_card,0.3562,0
txn_000006,cust_000434,571.91,upi,115,14,12,0.8571,2,False,network_error,0.6571,1
txn_000007,cust_001451,1845.44,wallet,656,4,3,0.75,4,False,insufficient_balance,0.305,0
txn_000008,cust_000466,1203.93,wallet,1347,8,5,0.625,3,False,bank_decline,0.4075,1
txn_000009,cust_000125,1382.01,wallet,997,14,9,0.6429,3,False,network_error,0.5129,0
txn_000010,cust_001884,3626.25,card,659,20,15,0.75,4,False,expired_card,0.135,0
txn_000011,cust_000922,1752.81,card,839,23,21,0.913,2,False,network_error,0.6739,1
txn_000012,cust_000938,395.22,upi,53,7,7,1.0,4,False,insufficient_balance,0.38,0
txn_000013,cust_001115,779.15,netbanking,1176,29,22,0.7586,3,False,expired_card,0.2176,1
txn_000014,cust_000538,808.04,card,1157,21,16,0.7619,3,False,network_error,0.5486,1
txn_000015,cust_003199,1567.48,upi,669,4,4,1.0,2,False,authentication_failed,0.42,1
txn_000016,cust_002333,380.63,card,509,28,18,0.6429,2,False,insufficient_balance,0.4329,0
txn_000017,cust_000426,824.67,upi,1075,23,19,0.8261,2,False,bank_decline,0.5478,0
txn_000018,cust_000590,275.38,upi,1082,9,7,0.7778,3,False,gateway_error,0.5233,0
txn_000019,cust_002525,717.95,netbanking,648,9,7,0.7778,3,False,authentication_failed,0.2733,1
txn_000020,cust_000482,1307.66,upi,270,14,11,0.7857,3,False,bank_decline,0.4557,0
txn_000021,cust_000505,657.34,upi,1387,29,23,0.7931,3,False,authentication_failed,0.2779,1
txn_000022,cust_001623,486.65,wallet,701,23,20,0.8696,2,False,network_error,0.6609,0
txn_000023,cust_000949,496.89,netbanking,710,24,19,0.7917,2,False,network_error,0.6375,1
txn_000024,cust_001847,2572.89,card,15,26,22,0.8462,2,False,bank_decline,0.5538,0
txn_000025,cust_000789,1050.45,netbanking,1090,28,24,0.8571,4,False,gateway_error,0.4671,1
txn_000026,cust_002694,613.89,card,820,11,7,0.6364,2,False,insufficient_balance,0.4309,0
txn_000027,cust_000996,1492.13,netbanking,773,27,17,0.6296,2,False,bank_decline,0.4889,1
txn_000028,cust_002970,394.51,upi,228,26,18,0.6923,4,False,gateway_error,0.4177,0
txn_000029,cust_001267,3117.55,card,1158,10,8,0.8,3,False,bank_decline,0.46,0
txn_000030,cust_002771,411.75,upi,1421,7,7,1.0,1,False,bank_decline,0.68,1
txn_000031,cust_001665,3530.36,netbanking,1311,1,1,1.0,1,False,expired_card,0.45,0
txn_000032,cust_000766,962.22,netbanking,1401,0,0,0.0,1,True,bank_decline,0.33,0
txn_000033,cust_000084,212.7,upi,759,27,20,0.7407,3,False,bank_decline,0.4422,0
txn_000034,cust_003092,379.51,netbanking,1239,3,3,1.0,3,False,insufficient_balance,0.46,1
txn_000035,cust_001990,2445.99,netbanking,994,9,8,0.8889,4,False,gateway_error,0.4767,1
txn_000036,cust_001397,1263.02,netbanking,1261,3,3,1.0,3,False,gateway_error,0.59,0
txn_000037,cust_000960,554.13,netbanking,1206,12,8,0.6667,2,False,bank_decline,0.5,1
txn_000038,cust_002020,649.81,wallet,695,6,5,0.8333,4,False,gateway_error,0.46,0
txn_000039,cust_001770,717.98,card,561,27,19,0.7037,2,False,gateway_error,0.5811,1
txn_000040,cust_000351,391.53,card,1491,22,15,0.6818,4,False,bank_decline,0.3445,0
txn_000041,cust_000520,1441.22,card,1237,9,8,0.8889,2,False,gateway_error,0.6367,1
txn_000042,cust_000185,985.3,upi,684,3,3,1.0,3,False,bank_decline,0.52,1
txn_000043,cust_002642,1599.16,netbanking,1021,24,19,0.7917,2,False,network_error,0.6375,0
txn_000044,cust_000832,1412.61,wallet,740,5,5,1.0,1,False,network_error,0.78,1
txn_000045,cust_001347,595.59,card,561,27,23,0.8519,3,False,gateway_error,0.5456,1
txn_000046,cust_003265,271.6,wallet,1255,25,16,0.64,1,False,expired_card,0.342,0
txn_000047,cust_002779,1143.64,netbanking,1168,22,16,0.7273,1,False,network_error,0.6982,0
txn_000048,cust_000466,907.34,upi,1029,19,15,0.7895,1,False,network_error,0.7168,1
txn_000049,cust_000785,4367.21,upi,551,15,12,0.8,2,False,insufficient_balance,0.48,0
txn_000050,cust_001095,3102.72,upi,1006,27,20,0.7407,4,False,network_error,0.4622,0
txn_000051,cust_000118,1558.06,card,1206,16,11,0.6875,3,False,insufficient_balance,0.3662,0
txn_000052,cust_002048,2050.58,card,755,25,21,0.84,4,False,bank_decline,0.392,0
txn_000053,cust_001484,1967.7,netbanking,1403,21,12,0.5714,1,False,expired_card,0.3214,0
txn_000054,cust_001967,626.94,wallet,1397,28,23,0.8214,3,False,bank_decline,0.4664,0
txn_000055,cust_002426,650.77,card,847,0,0,0.0,3,True,network_error,0.27,0
txn_000056,cust_003104,1527.08,wallet,777,14,10,0.7143,1,False,bank_decline,0.5943,1
txn_000057,cust_002461,3571.57,upi,987,21,14,0.6667,2,False,authentication_failed,0.32,0
txn_000058,cust_001049,1322.82,wallet,952,8,7,0.875,3,False,bank_decline,0.4825,1
txn_000059,cust_001203,2440.26,netbanking,657,22,15,0.6818,2,False,network_error,0.6045,0
txn_000060,cust_002393,2154.92,wallet,210,11,5,0.4545,1,False,gateway_error,0.5864,1
txn_000061,cust_000319,7059.45,wallet,955,3,2,0.6667,1,False,authentication_failed,0.4,1
txn_000062,cust_001475,304.35,upi,647,8,6,0.75,2,False,insufficient_balance,0.465,0
txn_000063,cust_000145,1367.88,netbanking,166,11,7,0.6364,4,False,insufficient_balance,0.2709,0
txn_000064,cust_000097,1224.87,card,935,2,1,0.5,4,False,bank_decline,0.29,1
txn_000065,cust_000019,1283.6,wallet,298,0,0,0.0,4,True,authentication_failed,0.02,0
txn_000066,cust_000796,2129.44,card,1230,18,12,0.6667,4,False,gateway_error,0.41,1
txn_000067,cust_001521,1997.29,wallet,1391,3,2,0.6667,4,False,gateway_error,0.41,1
txn_000068,cust_000518,3238.51,card,822,18,12,0.6667,2,False,expired_card,0.27,1
txn_000069,cust_000015,823.52,card,1065,15,11,0.7333,4,False,bank_decline,0.36,0
txn_000070,cust_000306,987.45,card,688,21,18,0.8571,2,False,bank_decline,0.5571,0
txn_000071,cust_001805,649.74,netbanking,1176,7,5,0.7143,3,False,bank_decline,0.4343,0
txn_000072,cust_003136,336.47,upi,806,20,14,0.7,2,False,bank_decline,0.51,1
txn_000073,cust_002049,1449.57,wallet,711,3,3,1.0,1,False,insufficient_balance,0.62,1
txn_000074,cust_001363,1431.47,upi,601,19,15,0.7895,1,False,bank_decline,0.6168,1
txn_000075,cust_001170,448.58,wallet,55,8,6,0.75,2,False,bank_decline,0.525,0
txn_000076,cust_001054,791.82,netbanking,821,19,14,0.7368,3,False,expired_card,0.2111,0
txn_000077,cust_000428,439.86,netbanking,939,15,11,0.7333,2,False,expired_card,0.29,0
txn_000078,cust_001049,1047.93,wallet,1100,15,10,0.6667,1,False,gateway_error,0.65,1
txn_000079,cust_001626,1790.03,card,109,26,23,0.8846,4,False,insufficient_balance,0.3454,1
txn_000080,cust_002757,2317.95,card,100,22,21,0.9545,2,False,gateway_error,0.6564,1
txn_000081,cust_001499,2244.3,card,901,20,16,0.8,1,False,gateway_error,0.69,0
txn_000082,cust_001293,700.88,wallet,1156,20,14,0.7,4,False,authentication_failed,0.17,1
txn_000083,cust_003194,2064.5,wallet,788,14,12,0.8571,1,False,gateway_error,0.7071,0
txn_000084,cust_001495,539.07,netbanking,1202,29,24,0.8276,3,False,insufficient_balance,0.4083,1
txn_000085,cust_003136,1218.27,card,651,14,12,0.8571,2,False,bank_decline,0.5571,0
txn_000086,cust_001955,313.37,card,289,8,6,0.75,4,False,network_error,0.465,1
txn_000087,cust_002046,284.53,wallet,1265,25,18,0.72,3,False,authentication_failed,0.256,0
txn_000088,cust_002815,489.4,card,1115,16,13,0.8125,4,False,network_error,0.4837,0
txn_000089,cust_001943,5586.22,upi,757,12,9,0.75,4,False,gateway_error,0.435,1
txn_000090,cust_003058,727.04,upi,775,3,3,1.0,4,False,authentication_failed,0.26,1
txn_000091,cust_000475,2253.29,upi,288,7,4,0.5714,1,False,network_error,0.6514,1
txn_000092,cust_002113,1038.59,netbanking,623,8,5,0.625,3,False,gateway_error,0.4775,0
txn_000093,cust_001536,2976.07,wallet,1142,19,13,0.6842,4,False,gateway_error,0.4153,0
txn_000094,cust_001844,1942.08,wallet,761,21,16,0.7619,3,False,authentication_failed,0.2686,0
txn_000095,cust_000993,412.44,card,433,24,17,0.7083,3,False,insufficient_balance,0.3725,1
txn_000096,cust_001550,781.42,card,1444,14,7,0.5,4,False,gateway_error,0.36,0
