profile,transaction_id,preferred_action,final_action,policy_override
Probability Maximizing,txn_006253,reminder,reminder,False
Probability Maximizing,txn_004685,retry,retry,False
Probability Maximizing,txn_001732,reminder,reminder,False
Probability Maximizing,txn_004743,retry,payment_link,True
Probability Maximizing,txn_004522,retry,retry,False
Probability Maximizing,txn_006341,retry,retry,False
Probability Maximizing,txn_000577,retry,retry,False
Probability Maximizing,txn_005203,retry,payment_link,True
Probability Maximizing,txn_006364,retry,retry,False
Probability Maximizing,txn_000440,retry,retry,False
Probability Maximizing,txn_002751,payment_link,payment_link,False
Probability Maximizing,txn_007488,retry,payment_link,True
Probability Maximizing,txn_005273,retry,payment_link,True
Probability Maximizing,txn_005654,retry,payment_link,True
Probability Maximizing,txn_004000,retry,payment_link,True
Probability Maximizing,txn_006034,payment_link,payment_link,False
Probability Maximizing,txn_000583,retry,retry,False
Probability Maximizing,txn_009931,retry,retry,False
Probability Maximizing,txn_007052,retry,payment_link,True
Probability Maximizing,txn_008159,retry,payment_link,True
Probability Maximizing,txn_009897,retry,retry,False
Probability Maximizing,txn_002250,payment_link,payment_link,False
Probability Maximizing,txn_004641,retry,payment_link,True
Probability Maximizing,txn_009486,payment_link,payment_link,False
Probability Maximizing,txn_004948,reminder,reminder,False
Probability Maximizing,txn_009921,payment_link,payment_link,False
Probability Maximizing,txn_001964,retry,retry,False
Probability Maximizing,txn_008244,reminder,reminder,False
Probability Maximizing,txn_006591,reminder,reminder,False
Probability Maximizing,txn_008848,retry,retry,False
Probability Maximizing,txn_000322,retry,reminder,True
Probability Maximizing,txn_002679,payment_link,payment_link,False
Probability Maximizing,txn_004626,retry,retry,False
Probability Maximizing,txn_004950,reminder,reminder,False
Probability Maximizing,txn_008329,reminder,reminder,False
Probability Maximizing,txn_003338,retry,retry,False
Probability Maximizing,txn_005590,retry,retry,False
Probability Maximizing,txn_000252,retry,reminder,True
Probability Maximizing,txn_003974,payment_link,payment_link,False
Probability Maximizing,txn_006631,retry,retry,False
Probability Maximizing,txn_005548,payment_link,payment_link,False
Probability Maximizing,txn_000036,retry,payment_link,True
Probability Maximizing,txn_008363,reminder,reminder,False
Probability Maximizing,txn_001514,retry,reminder,True
Probability Maximizing,txn_009318,payment_link,retry,True
Probability Maximizing,txn_000040,retry,payment_link,True
Probability Maximizing,txn_004820,retry,payment_link,True
Probability Maximizing,txn_003466,retry,retry,False
Probability Maximizing,txn_001761,payment_link,payment_link,False
Probability Maximizing,txn_002305,retry,retry,False
Probability Maximizing,txn_003724,payment_link,payment_link,False
Probability Maximizing,txn_008285,payment_link,payment_link,False
Probability Maximizing,txn_004994,retry,retry,False
Probability Maximizing,txn_008128,retry,retry,False
Probability Maximizing,txn_003033,payment_link,payment_link,False
Probability Maximizing,txn_007939,payment_link,payment_link,False
Probability Maximizing,txn_003040,reminder,reminder,False
Probability Maximizing,txn_009656,retry,retry,False
Probability Maximizing,txn_002546,retry,payment_link,True
Probability Maximizing,txn_002593,payment_link,payment_link,False
Probability Maximizing,txn_001189,retry,retry,False
Probability Maximizing,txn_007967,retry,payment_link,True
Probability Maximizing,txn_006078,retry,retry,False
Probability Maximizing,txn_000108,reminder,reminder,False
Probability Maximizing,txn_001316,retry,retry,False
Probability Maximizing,txn_008188,retry,reminder,True
Probability Maximizing,txn_002754,retry,retry,False
Probability Maximizing,txn_009754,retry,payment_link,True
Probability Maximizing,txn_006232,retry,payment_link,True
Probability Maximizing,txn_002877,retry,payment_link,True
Probability Maximizing,txn_005324,reminder,reminder,False
Probability Maximizing,txn_000800,payment_link,payment_link,False
Probability Maximizing,txn_003571,retry,retry,False
Probability Maximizing,txn_002895,reminder,reminder,False
Probability Maximizing,txn_002928,retry,payment_link,True
Probability Maximizing,txn_008179,reminder,reminder,False
Probability Maximizing,txn_000972,retry,retry,False
Probability Maximizing,txn_006688,retry,reminder,True
Probability Maximizing,txn_008576,reminder,reminder,False
Probability Maximizing,txn_002021,reminder,reminder,False
Probability Maximizing,txn_009055,reminder,reminder,False
Probability Maximizing,txn_000953,payment_link,payment_link,False
Probability Maximizing,txn_005360,retry,payment_link,True
Probability Maximizing,txn_003858,retry,retry,False
Probability Maximizing,txn_005862,retry,payment_link,True
Probability Maximizing,txn_003146,payment_link,payment_link,False
Probability Maximizing,txn_003306,retry,payment_link,True
Probability Maximizing,txn_003007,retry,retry,False
Probability Maximizing,txn_009002,retry,retry,False
Probability Maximizing,txn_007771,payment_link,payment_link,False
Probability Maximizing,txn_007439,retry,reminder,True
Probability Maximizing,txn_007943,retry,payment_link,True
Probability Maximizing,txn_009239,payment_link,payment_link,False
Probability Maximizing,txn_001057,retry,retry,False
Probability Maximizing,txn_003155,payment_link,payment_link,False
Probability Maximizing,txn_003788,retry,reminder,True
Probability Maximizing,txn_009190,reminder,reminder,False
Probability Maximizing,txn_007826,retry,retry,False
Probability Maximizing,txn_007540,payment_link,payment_link,False
Probability Maximizing,txn_007232,payment_link,reminder,True
Probability Maximizing,txn_000765,retry,retry,False
Probability Maximizing,txn_005020,reminder,reminder,False
Probability Maximizing,txn_004904,reminder,reminder,False
Probability Maximizing,txn_008094,retry,payment_link,True
Probability Maximizing,txn_006844,reminder,reminder,False
Probability Maximizing,txn_002166,payment_link,reminder,True
Probability Maximizing,txn_001863,reminder,reminder,False
Probability Maximizing,txn_007851,payment_link,payment_link,False
Probability Maximizing,txn_009124,reminder,reminder,False
Probability Maximizing,txn_002341,retry,payment_link,True
Probability Maximizing,txn_005528,payment_link,payment_link,False
Probability Maximizing,txn_006744,retry,retry,False
Probability Maximizing,txn_004004,retry,retry,False
Probability Maximizing,txn_001124,payment_link,payment_link,False
Probability Maximizing,txn_008710,retry,reminder,True
Probability Maximizing,txn_004050,retry,payment_link,True
Probability Maximizing,txn_007641,retry,payment_link,True
Probability Maximizing,txn_000766,payment_link,payment_link,False
Probability Maximizing,txn_002345,reminder,reminder,False
Probability Maximizing,txn_004072,retry,payment_link,True
Probability Maximizing,txn_007217,retry,payment_link,True
Probability Maximizing,txn_004217,reminder,reminder,False
Probability Maximizing,txn_007953,retry,retry,False
Probability Maximizing,txn_005971,retry,retry,False
Probability Maximizing,txn_003351,retry,retry,False
Probability Maximizing,txn_004696,retry,payment_link,True
Probability Maximizing,txn_003400,retry,retry,False
Probability Maximizing,txn_004082,reminder,reminder,False
Probability Maximizing,txn_009150,reminder,reminder,False
Probability Maximizing,txn_001225,reminder,reminder,False
Probability Maximizing,txn_006293,retry,retry,False
Probability Maximizing,txn_003123,retry,retry,False
Probability Maximizing,txn_000511,retry,reminder,True
Probability Maximizing,txn_005795,retry,retry,False
Probability Maximizing,txn_008182,retry,retry,False
Probability Maximizing,txn_009418,reminder,reminder,False
Probability Maximizing,txn_000097,retry,payment_link,True
Probability Maximizing,txn_006682,reminder,reminder,False
Probability Maximizing,txn_001513,retry,retry,False
Probability Maximizing,txn_008792,retry,reminder,True
Probability Maximizing,txn_000120,reminder,reminder,False
Probability Maximizing,txn_007792,reminder,reminder,False
Probability Maximizing,txn_006518,retry,retry,False
Probability Maximizing,txn_000034,reminder,reminder,False
Probability Maximizing,txn_007888,retry,retry,False
Probability Maximizing,txn_006831,retry,payment_link,True
Probability Maximizing,txn_005422,retry,payment_link,True
Probability Maximizing,txn_001069,retry,payment_link,True
Probability Maximizing,txn_001348,reminder,reminder,False
Probability Maximizing,txn_004748,retry,retry,False
Probability Maximizing,txn_006006,retry,payment_link,True
Probability Maximizing,txn_006040,retry,payment_link,True
Probability Maximizing,txn_003818,payment_link,payment_link,False
Probability Maximizing,txn_008447,payment_link,payment_link,False
Probability Maximizing,txn_005270,reminder,reminder,False
Probability Maximizing,txn_006898,retry,payment_link,True
Probability Maximizing,txn_005310,retry,reminder,True
Probability Maximizing,txn_000032,payment_link,payment_link,False
Probability Maximizing,txn_005675,retry,retry,False
Probability Maximizing,txn_004387,retry,payment_link,True
Probability Maximizing,txn_000030,retry,retry,False
Probability Maximizing,txn_004203,retry,payment_link,True
Probability Maximizing,txn_007508,reminder,reminder,False
Probability Maximizing,txn_000736,reminder,reminder,False
Probability Maximizing,txn_002068,reminder,reminder,False
Probability Maximizing,txn_000107,reminder,reminder,False
Probability Maximizing,txn_009645,payment_link,payment_link,False
Probability Maximizing,txn_008895,payment_link,payment_link,False
Probability Maximizing,txn_008021,retry,retry,False
Probability Maximizing,txn_002233,payment_link,payment_link,False
Probability Maximizing,txn_000994,reminder,reminder,False
Probability Maximizing,txn_009413,retry,payment_link,True
Probability Maximizing,txn_007059,retry,retry,False
Probability Maximizing,txn_006790,reminder,reminder,False
Probability Maximizing,txn_000361,payment_link,payment_link,False
Probability Maximizing,txn_000305,payment_link,payment_link,False
Probability Maximizing,txn_002628,retry,retry,False
Probability Maximizing,txn_008966,retry,payment_link,True
Probability Maximizing,txn_004514,retry,payment_link,True
Probability Maximizing,txn_005911,reminder,reminder,False
Probability Maximizing,txn_008314,reminder,reminder,False
Probability Maximizing,txn_003101,payment_link,payment_link,False
Probability Maximizing,txn_005704,reminder,reminder,False
Probability Maximizing,txn_003899,retry,payment_link,True
Probability Maximizing,txn_005441,retry,retry,False
Probability Maximizing,txn_007931,reminder,reminder,False
Probability Maximizing,txn_000622,reminder,reminder,False
Probability Maximizing,txn_007236,reminder,reminder,False
Probability Maximizing,txn_002499,payment_link,payment_link,False
Probability Maximizing,txn_000714,reminder,reminder,False
Probability Maximizing,txn_008404,retry,payment_link,True
Probability Maximizing,txn_002856,reminder,reminder,False
Probability Maximizing,txn_004270,reminder,reminder,False
Probability Maximizing,txn_002909,reminder,reminder,False
Probability Maximizing,txn_008081,retry,payment_link,True
Probability Maximizing,txn_004517,reminder,reminder,False
Probability Maximizing,txn_001262,retry,retry,False
Probability Maximizing,txn_003161,retry,retry,False
Probability Maximizing,txn_000971,retry,retry,False
Probability Maximizing,txn_003913,payment_link,payment_link,False
Probability Maximizing,txn_005199,retry,payment_link,True
Probability Maximizing,txn_008847,retry,retry,False
Probability Maximizing,txn_000260,payment_link,payment_link,False
Probability Maximizing,txn_003791,retry,payment_link,True
Probability Maximizing,txn_009203,payment_link,payment_link,False
Probability Maximizing,txn_000488,reminder,reminder,False
Probability Maximizing,txn_007908,payment_link,payment_link,False
Probability Maximizing,txn_000519,retry,retry,False
Probability Maximizing,txn_008343,retry,retry,False
Probability Maximizing,txn_000312,retry,retry,False
Probability Maximizing,txn_003232,retry,retry,False
Probability Maximizing,txn_007933,retry,retry,False
Probability Maximizing,txn_007458,reminder,reminder,False
Probability Maximizing,txn_009784,retry,payment_link,True
Probability Maximizing,txn_005184,retry,payment_link,True
Probability Maximizing,txn_008077,retry,retry,False
Probability Maximizing,txn_006502,retry,retry,False
Probability Maximizing,txn_006791,retry,payment_link,True
Probability Maximizing,txn_007773,retry,payment_link,True
Probability Maximizing,txn_002738,reminder,retry,True
Probability Maximizing,txn_007842,retry,payment_link,True
Probability Maximizing,txn_006262,payment_link,payment_link,False
Probability Maximizing,txn_008206,retry,retry,False
Probability Maximizing,txn_001248,retry,retry,False
