profile,seed,transactions,recovered,recovery_rate,recovered_revenue,stops,policy_overrides
Probability Maximizing,42,2000,993,0.4965,1523290.56,0,653
Probability Maximizing,123,2000,1029,0.5145,1564388.8,0,653
Probability Maximizing,456,2000,980,0.49,1445827.25,0,653
Probability Maximizing,789,2000,1028,0.514,1552063.65,0,653
Probability Maximizing,2026,2000,988,0.494,1545895.45,0,653
Low Cost,42,2000,993,0.4965,1523290.56,0,652
Low Cost,123,2000,1029,0.5145,1564388.8,0,652
Low Cost,456,2000,980,0.49,1445827.25,0,652
Low Cost,789,2000,1028,0.514,1552063.65,0,652
Low Cost,2026,2000,987,0.4935,1545691.56,0,652
Current,42,2000,991,0.4955,1520549.96,0,651
Current,123,2000,1028,0.514,1563377.46,0,651
Current,456,2000,979,0.4895,1444815.9100000001,0,651
Current,789,2000,1028,0.514,1552063.65,0,651
Current,2026,2000,984,0.492,1542473.08,0,651
High Cost,42,2000,991,0.4955,1520549.96,0,651
High Cost,123,2000,1027,0.5135,1563228.1600000001,0,651
High Cost,456,2000,980,0.49,1445520.36,0,651
High Cost,789,2000,1027,0.5135,1551282.57,0,651
High Cost,2026,2000,983,0.4915,1542095.2600000002,0,651
Recovery Focused,42,2000,993,0.4965,1523290.56,0,652
Recovery Focused,123,2000,1029,0.5145,1564388.8,0,652
Recovery Focused,456,2000,980,0.49,1445827.25,0,652
Recovery Focused,789,2000,1028,0.514,1552063.65,0,652
Recovery Focused,2026,2000,988,0.494,1545895.45,0,652
