scenario,strategy,recovery_rate_mean,recovery_rate_std,recovered_revenue_mean,recovered_revenue_std,stops_mean
Amount +20%,Always Retry,0.45330000000000004,0.004207136793592526,1621426.1711999997,39559.909306519716,0.0
Amount +20%,ML Only,0.5645,0.002474873734152931,2036471.6039999998,28906.891636581535,0.0
Amount +20%,RecoveryOS,0.5092000000000001,0.006350196847342606,1834821.636,26280.758666754722,0.0
Amount +20%,Rule Based,0.3241,0.0059413803110051865,1154508.8904,31292.33254321881,998.0
Amount -20%,Always Retry,0.45330000000000004,0.004207136793592526,1080950.7808000003,26373.272871013174,0.0
Amount -20%,ML Only,0.5646,0.0034168699126539705,1359898.0176000001,19738.46431887575,0.0
Amount -20%,RecoveryOS,0.5084,0.005458937625582443,1220126.28,15045.625451205216,0.0
Amount -20%,Rule Based,0.3241,0.0059413803110051865,769672.5936,20861.555028812556,998.0
High Noise,Always Retry,0.45380000000000004,0.005415256226624932,1347212.552,32740.299638639834,0.0
High Noise,ML Only,0.5631999999999999,0.007471612945007246,1688600.054,40962.011013128125,0.0
High Noise,RecoveryOS,0.507,0.005656854249492355,1522780.258,37299.59112341677,0.0
High Noise,Rule Based,0.3218,0.007155417527999339,960928.994,28201.345244699383,998.0
Low Noise,Always Retry,0.45330000000000004,0.004207136793592526,1351188.476,32966.59108876639,0.0
Low Noise,ML Only,0.5647,0.003213253802611936,1698990.2820000001,24781.10153172809,0.0
Low Noise,RecoveryOS,0.5086999999999999,0.005641365083027331,1526350.492,18951.815394100628,0.0
Low Noise,Rule Based,0.3241,0.0059413803110051865,962090.742,26076.943786015607,998.0
Normal,Always Retry,0.4471,0.011786644984897123,1337849.434,35272.49728280974,0.0
Normal,ML Only,0.5584,0.014685877569964952,1699865.0960000001,49742.21269687874,0.0
Normal,RecoveryOS,0.5006999999999999,0.011405042744330223,1526229.888,48687.2644719861,0.0
Normal,Rule Based,0.3196,0.007619055059520183,969774.2660000001,23050.738154495844,998.0
